AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.47	0.46	0.35	0.43	0.42
CASG920101	-0.1	-0.4	1.9	0.15	0.45
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.77	0.85	0.7	0.73	0.77
CHOP780202	0.83	0.89	1.19	0.97	1.19
CHOP780203	1.01	1.01	0.96	1.07	0.96
CIDH920105	-0.41	-0.38	0.77	-0.02	0.18
DAYM780201	56.0	72.5	20.0	56.0	52.5
EISD860102	0.73	1.0	0.17	0.7050000000000001	0.73
FASG760101	121.15	126.64	121.15	121.15	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	0.72	1.0	0.75	1.0
GRAR740102	9.0	8.6	5.5	8.0	7.125
JANJ780101	42.0	43.5	15.5	33.25	27.6
JANJ780102	35.0	34.5	74.0	46.5	52.0
JANJ780103	32.0	32.0	5.0	21.0	15.0
JOND750101	0.87	0.86	1.52	0.87	1.52
JOND920102	58.0	80.75	44.0	66.5	58.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.37	5.37	1.73	4.74	3.985
KRIW790102	0.28	0.27	0.11	0.25	0.23
KYTJ820101	-0.7	-0.8	2.5	-0.55	0.9
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	0.0	2.1	0.45	1.05
RACS820114	21.09	20.44	30.57	22.63	21.87
RADA880108	-0.27	-0.17	1.36	0.24	0.45
Sequence_size	7.0	6.0	1.0	4.0	6.0
TAKK010101	4.4	6.4	3.0	3.0	5.15
VINM940101	1.03	1.01	0.91	0.98	0.96
WARP780101	7.79	7.49	8.89	7.9	7.99
WOLR790101	0.54	-0.02	0.59	0.27	0.59
ZIMJ680101	0.83	0.83	1.48	0.83	1.48
